E_coli,Total_Coliforms,Enterococci,Turbidity,Residual_Chlorine,Nitrate,Disease_Risk
170,1663,7,14.22,0.37,5.75,Diarrhea
169,3813,1,85.7,0.43,14.92,HepatitisA
144,1303,9,61.35,0.14,13.69,HepatitisA
953,7333,2,11.77,0.04,5.3,Cholera
600,1254,90,13.9,0.16,9.65,Dysentery
1531,609,76,10.74,0.03,13.27,Dysentery
987,1029,89,8.67,0.29,13.07,Dysentery
127,4908,27,8.12,0.69,11.4,Typhoid
27,2662,45,1.1,0.49,29.48,Typhoid
125,3250,0,27.29,0.35,13.25,HepatitisA
128,3929,42,8.56,0.56,28.58,Typhoid
385,325,10,11.94,0.13,0.09,Diarrhea
529,6723,8,43.16,0.09,9.56,Cholera
78,1058,24,4.63,0.3,24.86,Typhoid
647,8353,4,42.04,0.07,5.16,Cholera
1460,1609,91,2.2,0.25,2.27,Dysentery
97,3713,40,7.2,0.47,19.37,Typhoid
1154,997,26,14.7,0.02,2.4,Dysentery
1089,5943,13,16.86,0.09,16.07,Cholera
309,377,25,9.82,0.03,10.08,Dysentery
108,2708,28,13.57,0.33,19.75,HepatitisA
147,3989,21,9.66,0.36,17.91,Typhoid
1947,492,78,7.08,0.17,5.44,Dysentery
66,3189,47,8.78,0.49,18.57,Typhoid
9,2019,6,23.86,0.03,3.02,HepatitisA
494,1889,14,10.56,0.09,8.86,Diarrhea
1552,1933,72,2.31,0.1,0.72,Dysentery
796,857,10,17.41,0.03,12.9,Cholera
165,1790,12,11.05,0.48,4.76,Diarrhea
129,2229,9,70.53,0.23,19.97,HepatitisA
126,2286,35,4.85,0.62,10.85,Typhoid
65,3898,17,39.67,0.31,4.68,HepatitisA
1063,7019,1,5.15,0.11,0.94,Cholera
15,1213,28,7.65,0.54,22.73,Typhoid
746,1666,66,5.1,0.05,8.98,Dysentery
143,1988,43,9.93,0.29,29.78,Typhoid
1853,1875,58,11.26,0.24,18.56,Dysentery
1414,7004,18,41.74,0.06,2.07,Cholera
401,1213,1,14.39,0.46,5.48,Diarrhea
168,1399,17,49.89,0.45,4.83,HepatitisA
1769,1949,59,10.12,0.06,3.81,Dysentery
110,2807,14,84.5,0.16,9.9,HepatitisA
248,8844,1,43.32,0.0,7.77,Cholera
1151,6639,17,15.01,0.14,15.91,Cholera
95,3966,9,38.01,0.42,19.17,HepatitisA
631,207,39,7.03,0.09,10.58,Dysentery
78,1248,24,1.82,0.63,16.25,Typhoid
44,4320,26,26.04,0.05,9.91,HepatitisA
121,4205,11,12.18,0.38,18.54,HepatitisA
812,1316,22,2.23,0.15,18.01,Dysentery
51,1920,28,8.37,0.68,25.34,Typhoid
1244,4044,13,44.17,0.02,18.74,Cholera
150,1689,10,79.78,0.22,9.37,HepatitisA
118,4661,21,55.53,0.31,7.01,HepatitisA
187,1666,25,32.13,0.44,13.08,HepatitisA
377,469,49,6.46,0.19,0.17,Dysentery
151,3568,18,28.96,0.07,14.06,HepatitisA
124,3854,2,91.61,0.48,12.87,HepatitisA
1803,1602,77,7.36,0.06,6.31,Dysentery
537,7341,6,35.27,0.13,3.13,Cholera
372,282,5,19.39,0.01,10.42,Diarrhea
56,1896,4,5.73,0.09,1.81,Diarrhea
149,1953,2,7.33,0.45,12.19,Diarrhea
421,2792,15,40.43,0.03,13.55,Cholera
43,3685,42,1.81,0.5,27.2,Typhoid
81,1403,11,6.87,0.33,13.69,Diarrhea
56,4488,20,9.41,0.23,22.81,Typhoid
197,1741,0,8.99,0.33,6.91,Diarrhea
2,479,0,50.15,0.11,9.52,HepatitisA
117,1335,5,18.61,0.35,11.61,Diarrhea
420,496,11,14.12,0.11,1.46,Diarrhea
1432,1064,4,44.32,0.09,8.97,Cholera
163,1195,12,5.72,0.05,13.2,Diarrhea
348,2573,16,5.41,0.1,14.13,Cholera
452,1013,10,4.09,0.05,13.24,Diarrhea
19,1517,20,23.0,0.23,6.24,HepatitisA
323,1091,3,9.34,0.16,1.58,Diarrhea
1139,200,31,2.06,0.01,14.82,Dysentery
904,1617,65,5.84,0.07,11.09,Dysentery
137,2320,16,2.24,0.37,20.39,Typhoid
1609,638,71,2.27,0.02,0.75,Dysentery
142,4085,11,21.75,0.18,9.89,HepatitisA
27,430,13,36.07,0.03,17.75,HepatitisA
1299,1660,50,14.31,0.04,18.19,Dysentery
498,1752,8,11.56,0.26,11.35,Diarrhea
1086,6240,4,8.54,0.0,7.0,Cholera
1362,776,56,13.66,0.12,16.63,Dysentery
853,963,36,4.7,0.16,1.86,Dysentery
1466,1951,74,13.01,0.28,5.1,Dysentery
30,2566,23,82.86,0.16,19.32,HepatitisA
1513,532,76,2.13,0.2,9.92,Dysentery
261,974,20,14.4,0.13,5.57,Dysentery
1761,221,25,10.31,0.06,18.37,Dysentery
435,754,7,8.65,0.24,14.07,Diarrhea
194,1601,12,13.71,0.17,9.25,Diarrhea
74,339,7,18.8,0.0,12.12,Diarrhea
1576,1603,59,10.28,0.01,11.06,Dysentery
108,4845,21,4.98,0.68,17.76,Typhoid
1403,125,47,4.66,0.2,3.17,Dysentery
1107,1928,94,6.03,0.23,14.81,Dysentery
662,678,68,8.54,0.1,2.94,Dysentery
874,7409,8,33.71,0.12,15.73,Cholera
285,6985,12,23.65,0.01,13.51,Cholera
14,2926,48,3.4,0.4,26.64,Typhoid
332,119,13,9.84,0.08,9.39,Diarrhea
206,1669,97,11.44,0.28,4.96,Dysentery
22,4163,19,3.8,0.29,27.14,Typhoid
1394,7429,15,33.24,0.09,17.36,Cholera
40,3926,25,13.88,0.1,12.57,HepatitisA
297,2000,3,20.81,0.16,12.45,Cholera
170,1330,3,16.21,0.03,2.52,Diarrhea
1369,1275,43,12.0,0.25,15.0,Dysentery
72,4645,10,62.11,0.02,2.93,HepatitisA
223,1363,8,4.2,0.12,10.4,Diarrhea
76,1645,1,91.89,0.31,0.32,HepatitisA
125,1126,0,6.69,0.07,6.08,Diarrhea
483,536,13,18.61,0.47,9.78,Diarrhea
319,576,87,12.7,0.09,1.08,Dysentery
881,8745,3,47.68,0.03,17.03,Cholera
776,1136,58,3.98,0.04,2.61,Dysentery
119,255,27,13.31,0.04,8.03,Dysentery
31,4826,29,3.33,0.47,28.65,Typhoid
1592,1338,88,8.72,0.03,12.5,Dysentery
381,1969,12,18.62,0.4,4.79,Diarrhea
1405,1337,44,4.57,0.09,2.51,Dysentery
100,2694,11,3.28,0.33,27.42,Typhoid
31,4764,12,6.99,0.66,10.73,Typhoid
146,4710,19,9.15,0.42,17.4,Typhoid
88,3925,46,4.38,0.36,23.11,Typhoid
39,4470,16,8.47,0.57,21.48,Typhoid
173,4816,0,96.8,0.34,15.14,HepatitisA
192,2677,14,62.0,0.28,5.51,HepatitisA
364,1244,9,17.09,0.12,5.7,Diarrhea
209,680,7,16.27,0.26,9.95,Diarrhea
705,377,25,4.84,0.26,13.8,Dysentery
49,483,28,1.35,0.49,21.67,Typhoid
48,870,12,3.02,0.75,18.8,Typhoid
90,4101,13,27.74,0.36,14.84,HepatitisA
11,2868,25,14.02,0.21,15.66,HepatitisA
107,4406,24,26.18,0.21,9.25,HepatitisA
74,3842,18,3.34,0.42,20.94,Typhoid
178,596,56,14.0,0.11,14.01,Dysentery
1477,3367,5,49.74,0.1,4.16,Cholera
31,3998,3,62.51,0.06,14.75,HepatitisA
893,311,57,13.5,0.07,13.42,Dysentery
1691,7705,16,25.62,0.02,10.36,Cholera
1414,5323,13,23.33,0.19,11.79,Cholera
200,648,6,11.04,0.04,0.68,Diarrhea
1474,1012,34,8.16,0.16,8.52,Dysentery
64,1946,22,25.66,0.43,13.68,HepatitisA
53,2934,40,6.35,0.31,27.11,Typhoid
550,809,32,14.96,0.17,17.99,Dysentery
1029,1636,29,6.04,0.06,15.73,Dysentery
137,2671,26,39.19,0.25,13.41,HepatitisA
12,3939,39,7.78,0.65,22.16,Typhoid
36,915,19,69.37,0.34,14.03,HepatitisA
24,996,18,4.67,0.37,23.08,Typhoid
1701,5099,2,8.33,0.07,2.16,Cholera
41,2933,20,96.88,0.43,15.04,HepatitisA
189,1210,2,14.72,0.16,10.87,Diarrhea
251,577,14,5.23,0.4,10.95,Diarrhea
379,1291,61,10.8,0.1,15.01,Dysentery
743,2123,14,6.25,0.02,2.96,Cholera
404,717,7,19.73,0.32,1.99,Diarrhea
63,884,41,3.63,0.58,15.81,Typhoid
107,2474,28,28.73,0.38,5.67,HepatitisA
178,1033,9,19.68,0.32,13.14,Diarrhea
94,3113,26,5.49,0.67,15.58,Typhoid
1655,9962,7,11.84,0.08,11.39,Cholera
603,1848,54,7.8,0.05,8.02,Dysentery
148,1478,13,17.9,0.21,3.63,Diarrhea
138,4632,17,5.01,0.57,10.9,Typhoid
1043,1244,39,8.46,0.1,13.59,Dysentery
203,4871,9,24.76,0.04,8.37,Cholera
575,7024,3,6.11,0.15,11.41,Cholera
71,1422,25,40.46,0.37,2.12,HepatitisA
483,1905,14,15.7,0.46,4.58,Diarrhea
1357,9579,12,15.33,0.12,18.2,Cholera
6,4536,3,41.03,0.14,8.06,HepatitisA
1245,687,15,21.3,0.02,19.49,Cholera
212,530,6,14.0,0.01,4.29,Diarrhea
458,228,11,13.39,0.09,3.67,Diarrhea
197,1793,19,54.13,0.08,11.33,HepatitisA
417,803,1,17.33,0.01,12.68,Diarrhea
462,9671,6,35.63,0.1,19.97,Cholera
86,4192,37,1.17,0.69,26.94,Typhoid
228,189,5,19.37,0.08,1.57,Diarrhea
529,113,54,5.58,0.28,1.53,Dysentery
1621,788,42,5.84,0.27,10.83,Dysentery
217,1082,13,5.93,0.08,13.02,Diarrhea
150,2937,19,48.02,0.06,10.37,HepatitisA
45,1504,7,48.88,0.14,5.04,HepatitisA
141,551,10,15.74,0.2,2.66,Diarrhea
1978,6425,18,14.77,0.1,10.46,Cholera
305,851,3,3.26,0.33,5.01,Diarrhea
58,284,49,8.84,0.32,28.01,Typhoid
136,3412,25,43.26,0.11,9.83,HepatitisA
1602,9029,3,14.86,0.13,5.78,Cholera
344,1797,12,46.66,0.13,17.29,Cholera
1108,1847,71,9.66,0.24,19.16,Dysentery
128,3218,12,2.37,0.78,27.39,Typhoid
492,986,45,10.46,0.05,15.19,Dysentery
342,1185,53,7.04,0.1,17.83,Dysentery
1225,1361,70,8.39,0.19,17.36,Dysentery
1812,1003,98,6.18,0.08,18.78,Dysentery
127,647,3,43.04,0.28,16.64,HepatitisA
1243,5859,3,25.62,0.03,4.6,Cholera
914,1455,70,10.04,0.08,3.48,Dysentery
1523,1410,49,11.7,0.08,0.57,Dysentery
1461,9176,18,41.39,0.17,18.37,Cholera
132,1996,5,28.84,0.43,9.14,HepatitisA
494,479,89,11.68,0.07,18.32,Dysentery
250,1766,4,17.31,0.13,12.54,Diarrhea
1954,132,53,2.92,0.06,3.48,Dysentery
385,649,12,10.6,0.35,2.7,Diarrhea
336,538,2,4.66,0.0,13.24,Diarrhea
403,771,4,4.51,0.09,6.03,Diarrhea
411,121,1,8.71,0.18,10.6,Diarrhea
99,1774,3,53.3,0.48,13.51,HepatitisA
1368,1724,20,14.31,0.23,12.49,Dysentery
282,1076,7,7.27,0.4,14.07,Diarrhea
100,1396,2,8.14,0.04,14.82,Diarrhea
138,2056,32,7.01,0.26,11.08,Typhoid
122,561,6,53.67,0.14,15.62,HepatitisA
857,581,24,7.27,0.21,15.64,Dysentery
709,3400,7,5.39,0.13,15.03,Cholera
258,2033,4,32.65,0.04,8.4,Cholera
92,4011,32,6.7,0.56,23.07,Typhoid
390,205,9,17.49,0.15,7.17,Diarrhea
7,2156,24,68.49,0.15,8.45,HepatitisA
1927,7867,18,40.34,0.17,13.55,Cholera
24,1438,20,3.78,0.29,27.61,Typhoid
66,2634,23,77.97,0.21,1.74,HepatitisA
144,1313,25,8.64,0.28,28.55,Typhoid
51,2121,16,97.2,0.08,12.42,HepatitisA
49,2719,19,5.7,0.73,14.71,Typhoid
148,1353,21,77.92,0.09,17.47,HepatitisA
1127,9337,12,14.03,0.15,9.57,Cholera
1899,318,34,13.1,0.06,5.29,Dysentery
84,995,18,6.99,0.36,12.28,Typhoid
296,444,11,16.55,0.37,0.05,Diarrhea
104,299,12,13.34,0.48,13.24,Diarrhea
691,1175,7,5.44,0.13,1.2,Cholera
179,4805,22,67.88,0.08,10.02,HepatitisA
95,1682,11,4.49,0.35,13.68,Typhoid
1975,4934,0,10.53,0.1,18.97,Cholera
1110,1693,81,4.78,0.25,17.68,Dysentery
42,3027,26,47.76,0.25,11.69,HepatitisA
222,655,0,4.04,0.44,5.45,Diarrhea
3,372,3,11.19,0.22,7.94,HepatitisA
301,1251,3,13.23,0.02,0.55,Diarrhea
17,1699,18,98.6,0.2,10.3,HepatitisA
82,3341,42,6.91,0.64,24.51,Typhoid
837,257,42,13.25,0.06,6.34,Dysentery
85,506,29,2.28,0.67,16.07,Typhoid
254,1855,5,7.15,0.14,2.59,Diarrhea
1814,384,85,14.85,0.19,6.32,Dysentery
63,4139,12,52.59,0.21,0.9,HepatitisA
35,1805,29,99.8,0.1,7.17,HepatitisA
90,2808,7,95.89,0.2,9.45,HepatitisA
1985,427,21,6.96,0.16,13.86,Dysentery
265,1548,2,9.17,0.11,0.14,Diarrhea
608,1564,60,6.87,0.27,5.83,Dysentery
383,613,3,43.71,0.19,18.58,Cholera
298,1183,13,18.54,0.28,4.85,Diarrhea
1769,9814,13,10.14,0.1,10.43,Cholera
562,6208,14,33.77,0.13,7.56,Cholera
647,1174,82,14.17,0.13,16.29,Dysentery
422,1973,3,15.81,0.12,11.65,Diarrhea
1191,290,31,3.33,0.08,11.58,Dysentery
83,896,30,3.41,0.44,19.18,Typhoid
95,3699,29,18.77,0.39,2.15,HepatitisA
1495,204,37,10.52,0.19,2.71,Dysentery
136,4668,0,87.85,0.1,3.81,HepatitisA
290,1708,94,7.24,0.27,19.43,Dysentery
40,3495,12,7.28,0.75,22.76,Typhoid
70,2806,47,6.38,0.32,10.19,Typhoid
175,898,12,18.55,0.2,0.29,Diarrhea
130,3361,20,63.24,0.35,17.42,HepatitisA
1596,4815,19,20.0,0.13,0.57,Cholera
59,408,25,12.86,0.39,9.62,HepatitisA
378,285,1,14.32,0.09,12.38,Diarrhea
87,449,16,76.15,0.44,12.23,HepatitisA
74,4690,15,9.21,0.8,11.65,Typhoid
1648,5188,11,17.67,0.15,4.3,Cholera
89,436,25,6.14,0.78,22.39,Typhoid
1946,2790,17,17.57,0.1,1.76,Cholera
161,1758,3,35.56,0.1,0.4,HepatitisA
134,2417,12,6.38,0.49,15.5,Typhoid
29,2997,7,76.26,0.38,4.64,HepatitisA
1139,1817,10,18.38,0.19,19.11,Cholera
11,1026,45,2.72,0.58,19.8,Typhoid
91,523,14,10.32,0.44,5.81,Diarrhea
1192,1146,87,7.33,0.04,16.96,Dysentery
85,770,19,13.61,0.22,11.14,HepatitisA
831,3879,18,9.05,0.06,13.11,Cholera
86,2396,23,91.54,0.03,5.95,HepatitisA
1486,408,60,14.45,0.17,5.33,Dysentery
115,1011,4,6.79,0.36,3.22,Diarrhea
309,1546,0,8.58,0.4,4.26,Diarrhea
144,1324,0,9.85,0.31,11.19,Diarrhea
78,2939,38,1.73,0.25,19.61,Typhoid
492,3053,5,32.13,0.11,13.56,Cholera
53,567,17,9.13,0.46,13.24,Typhoid
868,7159,14,47.78,0.1,14.62,Cholera
762,1025,27,14.35,0.24,9.3,Dysentery
152,1688,3,94.03,0.28,7.4,HepatitisA
333,1674,9,5.47,0.29,13.69,Diarrhea
16,704,40,9.28,0.55,14.43,Typhoid
162,2886,1,84.26,0.06,18.44,HepatitisA
180,196,1,3.94,0.42,10.04,Diarrhea
37,2339,16,82.28,0.09,7.03,HepatitisA
141,2390,16,24.78,0.39,19.94,HepatitisA
174,1958,77,12.29,0.27,2.97,Dysentery
120,390,81,11.5,0.05,11.51,Dysentery
196,949,59,8.2,0.13,9.63,Dysentery
481,465,8,5.71,0.09,7.48,Diarrhea
931,6339,0,40.7,0.15,7.17,Cholera
499,285,13,19.5,0.43,13.45,Diarrhea
139,367,24,6.49,0.75,11.31,Typhoid
41,3379,12,13.33,0.09,18.71,HepatitisA
40,3974,16,1.17,0.57,25.61,Typhoid
815,6693,5,5.41,0.01,0.8,Cholera
132,1652,2,18.31,0.39,9.4,Diarrhea
216,1421,6,14.02,0.23,5.47,Diarrhea
1601,613,3,6.73,0.08,18.82,Cholera
1115,1866,9,38.42,0.03,14.34,Cholera
196,208,26,60.41,0.32,7.17,HepatitisA
1066,2823,12,27.52,0.04,16.55,Cholera
35,410,11,68.48,0.01,2.54,HepatitisA
1432,5586,11,43.94,0.03,17.98,Cholera
755,994,86,2.64,0.15,16.82,Dysentery
205,700,10,8.24,0.05,3.58,Diarrhea
1121,2721,3,41.14,0.08,8.16,Cholera
100,3833,23,3.32,0.57,19.14,Typhoid
153,1194,12,4.3,0.26,8.65,Diarrhea
183,4432,18,53.38,0.03,0.08,HepatitisA
150,315,29,81.17,0.2,9.29,HepatitisA
1722,1766,13,44.13,0.07,9.39,Cholera
1459,1962,90,11.22,0.07,17.44,Dysentery
145,2015,16,23.25,0.14,1.68,Cholera
142,580,4,10.52,0.24,2.59,Diarrhea
1654,1359,21,2.31,0.08,1.29,Dysentery
1526,2732,11,36.96,0.17,15.53,Cholera
208,1363,99,4.95,0.05,18.42,Dysentery
102,3158,24,95.85,0.18,1.75,HepatitisA
461,620,12,14.28,0.03,6.9,Diarrhea
134,3233,15,35.63,0.17,3.1,HepatitisA
1850,2882,6,24.9,0.15,11.27,Cholera
252,1926,12,15.84,0.31,5.15,Diarrhea
103,2184,40,9.78,0.77,11.46,Typhoid
509,1413,35,4.94,0.06,5.45,Dysentery
56,500,36,6.57,0.57,18.51,Typhoid
1153,8381,17,32.78,0.05,0.78,Cholera
470,620,11,5.36,0.08,10.59,Diarrhea
67,4518,21,6.77,0.36,26.07,Typhoid
281,1202,13,6.21,0.44,7.19,Diarrhea
96,1124,33,1.35,0.34,27.49,Typhoid
356,1624,7,12.45,0.31,13.94,Diarrhea
360,3723,19,47.72,0.1,9.65,Cholera
70,883,13,3.11,0.67,22.5,Typhoid
817,509,27,5.05,0.28,4.32,Dysentery
677,4310,19,9.64,0.16,0.8,Cholera
552,7838,17,33.29,0.16,15.43,Cholera
124,1036,9,5.31,0.11,12.0,Diarrhea
39,2176,42,1.92,0.2,14.68,Typhoid
211,446,9,8.56,0.06,1.49,Diarrhea
1323,3356,19,13.54,0.03,2.24,Cholera
1369,8592,4,12.79,0.16,1.27,Cholera
924,1902,76,3.19,0.15,13.08,Dysentery
598,1589,22,14.3,0.15,15.22,Dysentery
110,4577,10,9.91,0.29,26.62,Typhoid
345,777,66,7.53,0.12,12.78,Dysentery
321,753,1,18.39,0.47,0.48,Diarrhea
1692,1105,59,7.77,0.07,4.55,Dysentery
183,1295,7,40.9,0.08,14.25,HepatitisA
166,674,22,93.54,0.25,6.78,HepatitisA
798,8597,10,22.13,0.11,5.29,Cholera
1451,6474,6,23.91,0.09,6.49,Cholera
8,1779,6,59.46,0.41,10.6,HepatitisA
127,1439,41,3.2,0.21,25.56,Typhoid
848,7635,3,41.37,0.08,8.34,Cholera
1140,5151,9,10.17,0.12,5.77,Cholera
1379,1047,47,10.05,0.21,10.35,Dysentery
306,545,33,12.3,0.08,6.79,Dysentery
838,3308,1,16.49,0.07,8.19,Cholera
1155,8838,18,24.72,0.15,9.6,Cholera
116,319,9,73.04,0.08,10.28,HepatitisA
82,4065,1,73.12,0.28,6.43,HepatitisA
37,1951,38,5.83,0.48,27.87,Typhoid
1075,8971,7,42.67,0.02,16.05,Cholera
179,291,15,88.22,0.12,10.79,HepatitisA
143,1109,29,4.49,0.57,24.07,Typhoid
38,3735,47,3.58,0.75,18.14,Typhoid
1013,1036,52,13.78,0.07,12.49,Dysentery
193,205,5,10.13,0.44,13.48,Diarrhea
1977,462,94,14.36,0.07,4.94,Dysentery
138,4555,34,1.56,0.6,22.72,Typhoid
663,4729,8,24.26,0.02,2.32,Cholera
258,789,2,3.9,0.29,3.47,Diarrhea
265,660,0,5.2,0.29,11.85,Diarrhea
144,3920,15,4.74,0.37,29.79,Typhoid
147,3055,10,4.22,0.42,17.96,Typhoid
275,265,0,9.51,0.11,12.78,Diarrhea
127,4152,28,7.27,0.64,16.94,Typhoid
1158,607,15,49.23,0.11,9.2,Cholera
202,1558,94,7.11,0.27,12.93,Dysentery
800,5956,11,25.22,0.02,10.27,Cholera
45,3721,33,6.15,0.28,23.73,Typhoid
1365,1374,50,5.94,0.24,12.41,Dysentery
609,1913,53,4.63,0.28,8.34,Dysentery
109,679,1,9.71,0.17,7.8,Diarrhea
146,8904,3,9.8,0.15,4.99,Cholera
322,459,8,4.63,0.04,14.06,Diarrhea
66,647,1,9.91,0.16,14.61,Diarrhea
464,912,9,8.99,0.4,10.09,Diarrhea
355,927,6,14.13,0.19,0.79,Diarrhea
1585,7601,1,43.07,0.15,1.41,Cholera
360,1185,5,7.87,0.42,4.8,Diarrhea
219,995,12,4.48,0.26,7.54,Diarrhea
160,816,14,12.09,0.41,2.35,Diarrhea
1629,7075,8,29.9,0.05,4.02,Cholera
126,2248,31,1.81,0.24,22.52,Typhoid
75,2934,47,6.37,0.22,12.04,Typhoid
1202,1541,81,11.99,0.2,0.95,Dysentery
324,572,8,18.52,0.08,1.42,Diarrhea
1543,2907,8,43.43,0.18,7.24,Cholera
180,3470,17,77.64,0.44,11.01,HepatitisA
189,1363,95,6.66,0.24,10.41,Dysentery
88,494,45,4.03,0.5,28.7,Typhoid
19,3701,25,76.85,0.01,10.37,HepatitisA
1271,312,56,7.7,0.22,16.98,Dysentery
1020,2970,5,46.87,0.08,1.97,Cholera
138,4278,26,49.98,0.05,6.76,HepatitisA
912,2527,12,18.92,0.01,19.83,Cholera
127,515,49,7.45,0.24,10.46,Typhoid
277,235,14,13.36,0.31,8.2,Diarrhea
107,3621,42,5.33,0.66,24.18,Typhoid
284,1376,8,10.46,0.32,11.56,Diarrhea
88,3788,14,6.88,0.5,11.88,Typhoid
1501,507,67,9.92,0.13,11.68,Dysentery
78,308,9,78.43,0.15,15.76,HepatitisA
1811,1697,92,2.21,0.24,4.28,Dysentery
43,2258,26,87.62,0.48,16.35,HepatitisA
374,169,4,5.31,0.13,2.42,Diarrhea
89,2897,37,4.86,0.68,27.93,Typhoid
110,2182,45,7.23,0.41,24.86,Typhoid
146,2416,13,9.41,0.6,13.94,Typhoid
1636,1714,15,45.99,0.11,4.34,Cholera
97,610,16,1.65,0.5,23.5,Typhoid
299,1057,8,10.42,0.25,11.81,Diarrhea
652,607,79,7.82,0.23,13.98,Dysentery
1757,672,79,11.31,0.14,15.41,Dysentery
177,1124,31,4.22,0.13,7.32,Dysentery
61,3616,15,24.75,0.13,12.38,HepatitisA
45,3586,20,8.19,0.33,25.78,Typhoid
27,3378,36,1.22,0.67,16.8,Typhoid
101,4411,15,8.76,0.8,13.38,Typhoid
199,924,7,3.16,0.07,11.27,Diarrhea
917,9086,9,16.59,0.05,8.7,Cholera
1677,938,94,13.43,0.04,1.8,Dysentery
342,981,6,5.42,0.14,6.65,Diarrhea
